"";"alb_ID";"alb_chr";"alb_start";"alb_end";"alb_strand";"atr_ID";"atr_scf";"atr_start";"atr_end";"gam_ID";"gam_chr";"gam_start";"gam_end"
"1";"AALB010798";"3R";19680521;19682821;1;"AATE018839";"KI421901";1035188;1037430;"AGAP012333";"3L";40726257;40728060
"2";"AALB010380";"3R";12727191;12729055;1;"AATE008287";"KI421887";8773591;8778950;"AGAP011835";"3L";33913749;33915618
"3";"AALB003837";"3R";1536821;1542367;-1;"AATE020893";"KI421887";5539560;5546120;"AGAP011620";"3L";30022597;30028326
"4";"AALB010373";"3R";12689130;12689806;-1;"AATE008368";"KI421887";8727821;8729125;"AGAP011842";"3L";33980884;33981757
"5";"AALB003693";"3R";34570205;34572698;1;"AATE007542";"KI421922";438922;449601;"AGAP004694";"2L";1595176;1602296
"6";"AALB010014";"3R";6242907;6244271;1;"AATE003769";"KI421887";9856797;9858164;"AGAP012100";"3L";37645770;37647104
"7";"AALB001234";"3R";31787593;31791007;-1;"AATE011137";"KI421917";105772;107504;"AGAP010371";"3L";2288072;2290171
"8";"AALB010524";"3R";15129279;15130092;1;"AATE018036";"KI421887";1466530;1476858;"AGAP010835";"3L";11724169;11724981
"9";"AALB010030";"3R";6478385;6481798;1;"AATE014743";"KI421899";36350;40817;"AGAP011513";"3L";26285278;26286723
"10";"AALB009906";"3R";4381535;4390065;-1;"AATE008997";"KI421979";812;9171;"AGAP012175";"3L";38328174;38334784
"11";"AALB010415";"3R";13335975;13344371;-1;"AATE015330";"KI421901";3927631;3937643;"AGAP010611";"3L";7159111;7167882
"12";"AALB008506";"3R";23349026;23354349;1;"AATE020607";"KI421887";2863846;2874534;"AGAP028522";"3L";25001366;25012024
"13";"AALB007609";"3R";29759872;29763033;1;"AATE007914";"KI421913";604939;608144;"AGAP010444";"3L";3746262;3749424
"14";"AALB010100";"3R";7759916;7763169;1;"AATE016041";"KI421893";7103185;7112496;"AGAP011570";"3L";27950291;27954900
"15";"AALB010382";"3R";12732419;12732868;-1;"AATE012619";"KI421887";8784111;8785097;"AGAP011832";"3L";33893177;33894381
"16";"AALB007602";"3R";29522426;29525225;-1;"AATE016865";"KI421913";382145;382658;"AGAP010437";"3L";3546075;3546412
"17";"AALB010671";"3R";17476696;17479016;-1;"AATE007024";"KI421887";9386763;9390746;"AGAP011749";"3L";32886016;32888673
"18";"AALB003846";"3R";1630748;1631518;1;"AATE018800";"KI421887";5439064;5439912;"AGAP011614";"3L";29868915;29869793
"19";"AALB007043";"3R";25892237;25896288;1;"AATE019788";"KI421893";709444;713426;"AGAP011172";"3L";18227817;18231439
"20";"AALB010289";"3R";11387017;11394849;1;"AATE018105";"KI421887";8536249;8543239;"AGAP011859";"3L";34276239;34289207
"21";"AALB009937";"3R";5221716;5225289;-1;"AATE017784";"KI421893";2515933;2519234;"AGAP011968";"3L";35687053;35690662
"22";"AALB003762";"3R";467656;471245;1;"AATE006647";"KI421887";7837616;7839390;"AGAP011533";"3L";26889027;26890643
"23";"AALB003999";"3R";22090609;22092330;-1;"AATE010096";"KI421909";319136;320840;"AGAP010482";"3L";4264714;4266507
"24";"AALB010499";"3R";14920277;14922268;1;"AATE000930";"KI421901";47422;48099;"AGAP012321";"3L";40213816;40214477
"25";"AALB009821";"3R";3270709;3277005;1;"AATE015961";"KI421887";2923099;2930378;"AGAP011462";"3L";24957611;24958920
"26";"AALB009806";"3R";3135587;3146876;-1;"AATE003296";"KI421887";3108667;3114905;"AGAP011446";"3L";24763465;24770180
"27";"AALB003816";"3R";990351;991167;1;"AATE010996";"KI421887";9744133;9744901;"AGAP012393";"3L";41707173;41708129
"28";"AALB003898";"3R";28502225;28506181;1;"AATE001877";"KI421909";814886;819084;"AGAP010398";"3L";2705825;2709589
"29";"AALB001246";"3R";31716324;31727131;1;"AATE010356";"KI421917";170160;188238;"AGAP010359";"3L";2203034;2221792
"30";"AALB007610";"3R";29764351;29773375;-1;"AATE004586";"KI421913";610101;616821;"AGAP010445";"3L";3751130;3797383
"31";"AALB010556";"3R";15393661;15414900;-1;"AATE020538";"KI421887";2260376;2266565;"AGAP028501";"3L";10699071;10707374
"32";"AALB010098";"3R";7736027;7739694;1;"AATE005735";"KI421893";7145649;7153465;"AGAP011572";"3L";27980154;27988524
"33";"AALB009958";"3R";5553131;5554798;1;"AATE018321";"KI421899";2723804;2725906;"AGAP012229";"3L";39156547;39157938
"34";"AALB010364";"3R";12636240;12639302;1;"AATE020581";"KI421887";9337001;9340178;"AGAP011757";"3L";32953796;32955318
"35";"AALB008483";"3R";23716795;23724526;1;"AATE020807";"KI421929";235985;245267;"AGAP010697";"3L";8705862;8712845
"36";"AALB010377";"3R";12722228;12724063;-1;"AATE000055";"KI421887";8766510;8769789;"AGAP011838";"3L";33919586;33922375
"37";"AALB010625";"3R";16778467;16782847;1;"AATE002275";"KI421901";1982525;1986441;"AGAP010845";"3L";11929278;11933249
"38";"AALB015513";"3R";24909501;24911027;-1;"AATE001791";"KI421925";63879;66281;"AGAP010336";"3L";1661447;1663508
