Gene stable ID,Strand
AGAP000252,1
AGAP000304,1
AGAP000365,-1
AGAP000397,-1
AGAP000444,-1
AGAP000492,1
AGAP000555,1
AGAP000813,-1
AGAP000891,1
AGAP000908,-1
AGAP000951,1
AGAP001056,-1
AGAP001104,1
AGAP002220,1
AGAP002221,-1
AGAP002478,-1
AGAP004672,1
AGAP004682,-1
AGAP004683,-1
AGAP004686,1
AGAP004692,1
AGAP004693,-1
AGAP004694,-1
AGAP004696,-1
AGAP004698,-1
AGAP004714,1
AGAP004717,1
AGAP004720,1
AGAP004730,1
AGAP004731,-1
AGAP004737,1
AGAP004746,1
AGAP004747,-1
AGAP004749,1
AGAP004750,-1
AGAP004758,-1
AGAP004766,1
AGAP004767,-1
AGAP004768,-1
AGAP004775,-1
AGAP004782,-1
AGAP004784,1
AGAP004795,-1
AGAP004798,-1
AGAP004799,-1
AGAP004805,1
AGAP004839,1
AGAP004840,-1
AGAP004841,-1
AGAP004842,1
AGAP004845,1
AGAP004846,1
AGAP004848,-1
AGAP004850,-1
AGAP004852,-1
AGAP004854,1
AGAP004933,-1
AGAP004936,1
AGAP004937,-1
AGAP004938,-1
AGAP004942,-1
AGAP004943,1
AGAP004944,-1
AGAP004948,-1
AGAP004953,-1
AGAP004960,-1
AGAP004990,1
AGAP004991,-1
AGAP004992,1
AGAP004993,1
AGAP004995,-1
AGAP004996,-1
AGAP004997,1
AGAP005002,-1
AGAP005003,-1
AGAP005007,-1
AGAP005008,-1
AGAP005009,1
AGAP005010,1
AGAP005011,1
AGAP005014,1
AGAP005015,-1
AGAP005018,-1
AGAP005019,1
AGAP005031,-1
AGAP005032,1
AGAP005033,-1
AGAP005034,-1
AGAP005035,-1
AGAP005038,1
AGAP005039,-1
AGAP005040,-1
AGAP005071,-1
AGAP005075,1
AGAP005076,1
AGAP005079,1
AGAP005080,-1
AGAP005081,1
AGAP005082,1
AGAP005088,1
AGAP005091,1
AGAP005093,1
AGAP005094,-1
AGAP005095,1
AGAP005096,-1
AGAP005099,1
AGAP005100,1
AGAP005102,-1
AGAP005108,1
AGAP005109,-1
AGAP005110,1
AGAP005113,-1
AGAP005115,-1
AGAP005116,1
AGAP005117,-1
AGAP005118,1
AGAP005119,-1
AGAP005162,-1
AGAP005163,1
AGAP005164,-1
AGAP005170,-1
AGAP005171,-1
AGAP005173,-1
AGAP005175,1
AGAP005176,1
AGAP005178,-1
AGAP005182,1
AGAP005183,-1
AGAP005185,1
AGAP005189,-1
AGAP005191,1
AGAP005192,-1
AGAP005193,1
AGAP005197,-1
AGAP005198,1
AGAP005202,1
AGAP005206,1
AGAP005208,1
AGAP005209,-1
AGAP005210,1
AGAP005211,-1
AGAP005212,1
AGAP005213,-1
AGAP005215,-1
AGAP005216,1
AGAP005217,-1
AGAP005218,-1
AGAP005219,1
AGAP005220,-1
AGAP005221,1
AGAP005223,1
AGAP005225,-1
AGAP005227,1
AGAP005228,-1
AGAP005229,-1
AGAP005230,-1
AGAP005233,-1
AGAP005234,-1
AGAP005236,-1
AGAP005238,1
AGAP005240,1
AGAP005241,1
AGAP005242,1
AGAP005248,1
AGAP005250,1
AGAP005251,1
AGAP005254,-1
AGAP005255,-1
AGAP005273,1
AGAP005274,-1
AGAP005275,1
AGAP005277,-1
AGAP005279,1
AGAP005281,-1
AGAP005282,1
AGAP005285,1
AGAP005287,-1
AGAP005288,1
AGAP005290,-1
AGAP005291,1
AGAP005294,1
AGAP005295,-1
AGAP005297,1
AGAP005298,-1
AGAP005299,1
AGAP005300,-1
AGAP005301,-1
AGAP005305,1
AGAP005306,-1
AGAP005310,1
AGAP005311,-1
AGAP005312,-1
AGAP005313,1
AGAP005318,-1
AGAP005319,1
AGAP005321,-1
AGAP005322,1
AGAP005323,1
AGAP005324,1
AGAP005404,-1
AGAP005550,-1
AGAP005551,1
AGAP005552,1
AGAP005553,-1
AGAP005557,1
AGAP005558,1
AGAP005560,-1
AGAP005561,1
AGAP005563,1
AGAP005564,-1
AGAP005565,-1
AGAP005567,1
AGAP005568,-1
AGAP005569,1
AGAP005575,-1
AGAP005585,1
AGAP005644,-1
AGAP005710,1
AGAP005711,1
AGAP005712,-1
AGAP005715,1
AGAP005716,1
AGAP005717,-1
AGAP005719,1
AGAP005863,-1
AGAP005865,1
AGAP005866,-1
AGAP005869,1
AGAP005870,-1
AGAP005872,1
AGAP005873,1
AGAP005874,-1
AGAP005878,-1
AGAP005880,1
AGAP005881,-1
AGAP005882,-1
AGAP005883,1
AGAP005884,1
AGAP005886,1
AGAP005931,1
AGAP005933,-1
AGAP005934,1
AGAP005935,1
AGAP005936,-1
AGAP005937,1
