Rank;Alb_ID;Alb_chr;Alb_start;Alb_end;Alb_strand;Atr_ID;Atr_chr;Atr_start;Atr_stop
1;AALB014399;3R;21319662;21320322;-1;;;;
2;AALB010826;3R;19957521;19962856;-1;AATE017131;KI421887;9251073;9257875
3;AALB010826;3R;19957521;19962856;-1;AATE017131;KI421887;9251073;9257875
4;AALB006955;3R;24180649;24181246;-1;;;;
5;AALB001269;3R;31133769;31135481;-1;;;;
6;AALB015647;3R;28976561;28980885;1;AATE017911;KI421910;1229721;1232843
7;AALB015647;3R;28976561;28980885;1;AATE017911;KI421910;1229721;1232843
8;AALB007037;3R;25855296;25863809;-1;AATE007554;KI421893;672716;678383
9;AALB007037;3R;25855296;25863809;-1;AATE007554;KI421893;672716;678383
10;AALB007037;3R;25855296;25863809;-1;AATE014994;KI421893;665644;670568
11;AALB007037;3R;25855296;25863809;-1;AATE014994;KI421893;665644;670568
12;AALB010798;3R;19680521;19682821;1;AATE018839;KI421901;1035188;1037430
13;AALB010712;3R;18034023;18039176;-1;;;;
14;AALB010712;3R;18034023;18039176;-1;;;;
15;AALB010712;3R;18034023;18039176;-1;;;;
16;AALB010712;3R;18034023;18039176;-1;;;;
17;AALB010712;3R;18034023;18039176;-1;;;;
18;AALB010712;3R;18034023;18039176;-1;;;;
19;AALB010712;3R;18034023;18039176;-1;;;;
20;AALB010712;3R;18034023;18039176;-1;;;;
21;AALB010712;3R;18034023;18039176;-1;;;;
22;AALB010712;3R;18034023;18039176;-1;;;;
23;AALB010712;3R;18034023;18039176;-1;;;;
24;AALB010712;3R;18034023;18039176;-1;;;;
25;AALB010712;3R;18034023;18039176;-1;;;;
26;AALB010712;3R;18034023;18039176;-1;;;;
27;AALB010712;3R;18034023;18039176;-1;;;;
28;AALB010712;3R;18034023;18039176;-1;;;;
29;AALB010712;3R;18034023;18039176;-1;;;;
30;AALB010712;3R;18034023;18039176;-1;;;;
31;AALB010712;3R;18034023;18039176;-1;;;;
32;AALB010712;3R;18034023;18039176;-1;;;;
33;AALB010712;3R;18034023;18039176;-1;;;;
34;AALB010712;3R;18034023;18039176;-1;;;;
35;AALB010712;3R;18034023;18039176;-1;;;;
36;AALB010712;3R;18034023;18039176;-1;;;;
37;AALB010380;3R;12727191;12729055;1;AATE008287;KI421887;8773591;8778950
38;AALB015248;3R;26294691;26294860;1;;;;
39;AALB007478;3R;32681461;32719340;-1;AATE002091;KI421924;10247;56354
40;AALB007478;3R;32681461;32719340;-1;AATE002091;KI421924;10247;56354
41;AALB003837;3R;1536821;1542367;-1;AATE020893;KI421887;5539560;5546120
42;AALB010373;3R;12689130;12689806;-1;AATE008368;KI421887;8727821;8729125
43;AALB003693;3R;34570205;34572698;1;AATE007542;KI421922;438922;449601
44;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
45;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
46;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
47;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
48;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
49;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
50;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
51;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
52;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
53;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
54;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
55;AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855
56;AALB010014;3R;6242907;6244271;1;AATE003769;KI421887;9856797;9858164
57;AALB001234;3R;31787593;31791007;-1;AATE011137;KI421917;105772;107504
58;AALB010524;3R;15129279;15130092;1;AATE018036;KI421887;1466530;1476858
59;AALB015710;3R;26318677;26319982;1;;;;
60;AALB010060;3R;7240307;7244964;-1;AATE010907;KI421893;6630508;6650073
61;AALB010060;3R;7240307;7244964;-1;AATE010907;KI421893;6630508;6650073
62;AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873
63;AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873
64;AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873
65;AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873
66;AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873
67;AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873
68;AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873
69;AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873
70;AALB015881;3R;6068919;6070190;1;;;;
71;AALB015881;3R;6068919;6070190;1;;;;
72;AALB015881;3R;6068919;6070190;1;;;;
73;AALB015881;3R;6068919;6070190;1;;;;
74;AALB015881;3R;6068919;6070190;1;;;;
75;AALB015881;3R;6068919;6070190;1;;;;
76;AALB015881;3R;6068919;6070190;1;;;;
77;AALB015881;3R;6068919;6070190;1;;;;
78;AALB015881;3R;6068919;6070190;1;;;;
79;AALB015881;3R;6068919;6070190;1;;;;
80;AALB015881;3R;6068919;6070190;1;;;;
81;AALB015881;3R;6068919;6070190;1;;;;
82;AALB015881;3R;6068919;6070190;1;;;;
83;AALB015881;3R;6068919;6070190;1;;;;
84;AALB015881;3R;6068919;6070190;1;;;;
85;AALB015881;3R;6068919;6070190;1;;;;
86;AALB015881;3R;6068919;6070190;1;;;;
87;AALB015881;3R;6068919;6070190;1;;;;
88;AALB015881;3R;6068919;6070190;1;;;;
89;AALB015881;3R;6068919;6070190;1;;;;
90;AALB015881;3R;6068919;6070190;1;;;;
91;AALB015881;3R;6068919;6070190;1;;;;
92;AALB015881;3R;6068919;6070190;1;;;;
93;AALB015881;3R;6068919;6070190;1;;;;
94;AALB010030;3R;6478385;6481798;1;AATE014743;KI421899;36350;40817
95;AALB010036;3R;6548691;6550036;1;AATE006228;KI421899;135652;152739
96;AALB009906;3R;4381535;4390065;-1;AATE008997;KI421979;812;9171
97;AALB007613;3R;29846674;29847463;-1;;;;
98;AALB007613;3R;29846674;29847463;-1;;;;
99;AALB010520;3R;15121855;15123801;1;AATE014496;KI421895;4547168;4555023
100;AALB010520;3R;15121855;15123801;1;AATE015419;AXCP01009799;2;394
101;AALB010520;3R;15121855;15123801;1;AATE008333;KI421967;93266;94276
102;AALB010520;3R;15121855;15123801;1;AATE014555;KI421899;4516397;4518899
103;AALB010415;3R;13335975;13344371;-1;AATE015330;KI421901;3927631;3937643
104;AALB008506;3R;23349026;23354349;1;AATE020607;KI421887;2863846;2874534
105;AALB007609;3R;29759872;29763033;1;AATE007914;KI421913;604939;608144
106;AALB010027;3R;6375268;6377435;-1;AATE000933;KI421923;117465;121273
107;AALB010027;3R;6375268;6377435;-1;AATE000933;KI421923;117465;121273
108;AALB010100;3R;7759916;7763169;1;AATE016041;KI421893;7103185;7112496
109;AALB010382;3R;12732419;12732868;-1;AATE012619;KI421887;8784111;8785097
110;AALB007602;3R;29522426;29525225;-1;AATE016865;KI421913;382145;382658
111;AALB010671;3R;17476696;17479016;-1;AATE007024;KI421887;9386763;9390746
112;AALB003846;3R;1630748;1631518;1;AATE018800;KI421887;5439064;5439912
113;AALB009861;3R;3833250;3834563;-1;;;;
114;AALB010039;3R;6859181;6864443;1;AATE010624;KI421899;528102;533821
115;AALB010039;3R;6859181;6864443;1;AATE010624;KI421899;528102;533821
116;AALB007043;3R;25892237;25896288;1;AATE019788;KI421893;709444;713426
117;AALB014979;3R;15380452;15380713;1;;;;
118;AALB010289;3R;11387017;11394849;1;AATE018105;KI421887;8536249;8543239
119;AALB014951;3R;10408938;10413387;-1;;;;
120;AALB003716;3R;54436;56071;-1;;;;
121;AALB009937;3R;5221716;5225289;-1;AATE017784;KI421893;2515933;2519234
122;AALB003762;3R;467656;471245;1;AATE006647;KI421887;7837616;7839390
123;AALB010451;3R;13859549;13860223;-1;AATE002435;KI421887;2032610;2053376
124;AALB010140;3R;8795063;8796333;-1;;;;
125;AALB010576;3R;15814343;15828739;-1;AATE013818;KI421887;467019;486182
126;AALB010576;3R;15814343;15828739;-1;AATE013818;KI421887;467019;486182
127;AALB010728;3R;18157673;18158590;-1;;;;
128;AALB010310;3R;11888302;11890333;1;;;;
129;AALB014393;3R;21740055;21740493;-1;;;;
130;AALB007499;3R;32518780;32520525;1;AATE017399;KI421931;141855;145580
131;AALB010605;3R;16342774;16344790;1;;;;
132;AALB010324;3R;11990389;11992212;-1;;;;
133;AALB003999;3R;22090609;22092330;-1;AATE010096;KI421909;319136;320840
134;AALB010499;3R;14920277;14922268;1;AATE000930;KI421901;47422;48099
135;AALB010445;3R;13719494;13720865;-1;AATE015477;KI421887;2193051;2194229
136;AALB009821;3R;3270709;3277005;1;AATE015961;KI421887;2923099;2930378
137;AALB009924;3R;5153308;5160507;1;;;;
138;AALB009924;3R;5153308;5160507;1;;;;
139;AALB009924;3R;5153308;5160507;1;;;;
140;AALB009924;3R;5153308;5160507;1;;;;
141;AALB009924;3R;5153308;5160507;1;;;;
142;AALB009924;3R;5153308;5160507;1;;;;
143;AALB009924;3R;5153308;5160507;1;;;;
144;AALB009924;3R;5153308;5160507;1;;;;
145;AALB009924;3R;5153308;5160507;1;;;;
146;AALB009924;3R;5153308;5160507;1;;;;
147;AALB009924;3R;5153308;5160507;1;;;;
148;AALB009924;3R;5153308;5160507;1;;;;
149;AALB009924;3R;5153308;5160507;1;;;;
150;AALB009924;3R;5153308;5160507;1;;;;
151;AALB009924;3R;5153308;5160507;1;;;;
152;AALB009924;3R;5153308;5160507;1;;;;
153;AALB009924;3R;5153308;5160507;1;;;;
154;AALB009924;3R;5153308;5160507;1;;;;
155;AALB009924;3R;5153308;5160507;1;;;;
156;AALB009924;3R;5153308;5160507;1;;;;
157;AALB009806;3R;3135587;3146876;-1;AATE003296;KI421887;3108667;3114905
158;AALB003816;3R;990351;991167;1;AATE010996;KI421887;9744133;9744901
159;AALB014789;3R;23664047;23664581;1;;;;
160;AALB014670;3R;33058780;33059149;1;;;;
161;AALB003898;3R;28502225;28506181;1;AATE001877;KI421909;814886;819084
162;AALB014666;3R;27173118;27173578;-1;;;;
163;AALB003951;3R;22803693;22804937;-1;AATE003732;KI421903;1264993;1384105
164;AALB010564;3R;15690920;15693517;-1;AATE019740;KI421887;333367;338490
