chr;scf;strand
2R;KI421882;-1
2R;KI421890;-1
2R;KI421911;-1
2R;KI421912;-1
2R;KI421889;-1
2R;KI421900;-1
2R;KI421931;1
2R;KI422039;1
2R;KI421930;1
2R;KI421924;1
2R;KI422149;NA
2R;KI421922;-1
2L;KI421884;1
2L;KI421916;-1
2L;KI421891;-1
2L;KI421905;1
2L;KI421938;-1
2L;KI421886;1
2L;KI421894;1
3R;KI421888;1
3R;KI421914;-1
3R;KI421906;1
3R;KI421883;1
3R;KI421892;1
3R;KI421885;1
3R;KI421897;-1
3R;KI421915;1
3R;KI421904;1
3R;KI421908;-1
3R;KI421944;1
3L;KI421887;1
3L;KI421893;-1
3L;KI421923;1
3L;KI421899;-1
3L;KI421901;-1
3L;KI421903;1
3L;KI421902;1
3L;KI421910;-1
3L;KI421913;-1
3L;KI421909;-1
3L;KI421925;-1
3L;KI421917;1
3L;KI422027;1
3L;KI421973;1
