albimanus;albimanus;albimanus;albimanus;albimanus;atroparvus;atroparvus;atroparvus;atroparvus;funestus;funestus;funestus;funestus;gambiae;gambiae;gambiae;gambiae;sinensis;sinensis;sinensis;sinensis;stephensi;stephensi;stephensi;stephensi
AALB014399;3R;21319662;21320322;-1;;;;;AFUN000170;KB668784;186923;189710;;;;;;;;;ASTE002522;KB664511;1189938;1192383
AALB010826;3R;19957521;19962856;-1;AATE017131;KI421887;9251073;9257875;AFUN010245;KB669014;270615;277280;;;;;ASIS001531;KI916393;134061;139300;;;;
AALB010826;3R;19957521;19962856;-1;AATE017131;KI421887;9251073;9257875;AFUN010245;KB669014;270615;277280;;;;;ASIS022690;AXCK02029163;15;1226;;;;
AALB006955;3R;24180649;24181246;-1;;;;;AFUN006479;KB668717;141232;141988;AGAP010458;3L;3922549;3923253;ASIS014237;KI916287;73341;73998;ASTE001526;KB664669;16906;17512
AALB001269;3R;31133769;31135481;-1;;;;;;;;;;;;;;;;;;;;
AALB015647;3R;28976561;28980885;1;AATE017911;KI421910;1229721;1232843;AFUN003504;KB669325;614198;617511;AGAP010425;3L;3130385;3131791;ASIS002401;KI916475;72504;75653;ASTE004389;KB664688;854730;857924
AALB015647;3R;28976561;28980885;1;AATE017911;KI421910;1229721;1232843;AFUN003504;KB669325;614198;617511;AGAP010424;3L;3128410;3129162;ASIS002401;KI916475;72504;75653;ASTE004389;KB664688;854730;857924
AALB007037;3R;25855296;25863809;-1;AATE007554;KI421893;672716;678383;AFUN009552;KB668925;246490;254384;;;;;ASIS012565;KI916249;738200;738719;ASTE004937;KB664855;646604;653933
AALB007037;3R;25855296;25863809;-1;AATE007554;KI421893;672716;678383;AFUN009552;KB668925;246490;254384;;;;;ASIS019422;KI916249;741839;745542;ASTE004937;KB664855;646604;653933
AALB007037;3R;25855296;25863809;-1;AATE014994;KI421893;665644;670568;AFUN009552;KB668925;246490;254384;;;;;ASIS012565;KI916249;738200;738719;ASTE004937;KB664855;646604;653933
AALB007037;3R;25855296;25863809;-1;AATE014994;KI421893;665644;670568;AFUN009552;KB668925;246490;254384;;;;;ASIS019422;KI916249;741839;745542;ASTE004937;KB664855;646604;653933
AALB010798;3R;19680521;19682821;1;AATE018839;KI421901;1035188;1037430;AFUN009598;KB668830;35674;37262;AGAP012333;3L;40726257;40728060;ASIS009880;KI916787;106996;108546;ASTE002022;KB664494;68091;69983
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP000164;X;2848251;2849270;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP012027;3L;36678614;36680000;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP028159;3L;36662832;36663589;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP028040;3L;36673270;36674981;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP028107;3L;36675338;36676735;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP027985;3L;36677070;36678440;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP000164;X;2848251;2849270;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP012027;3L;36678614;36680000;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP028159;3L;36662832;36663589;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP028040;3L;36673270;36674981;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP028107;3L;36675338;36676735;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP027985;3L;36677070;36678440;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP000164;X;2848251;2849270;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP012027;3L;36678614;36680000;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP028159;3L;36662832;36663589;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP028040;3L;36673270;36674981;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP028107;3L;36675338;36676735;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN009311;KB669025;6177;7693;AGAP027985;3L;36677070;36678440;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP000164;X;2848251;2849270;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP012027;3L;36678614;36680000;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP028159;3L;36662832;36663589;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP028040;3L;36673270;36674981;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP028107;3L;36675338;36676735;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010712;3R;18034023;18039176;-1;;;;;AFUN002156;KB668668;476699;477972;AGAP027985;3L;36677070;36678440;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010380;3R;12727191;12729055;1;AATE008287;KI421887;8773591;8778950;AFUN002591;KB668918;19578;21938;AGAP011835;3L;33913749;33915618;ASIS005116;KI916326;270232;275512;ASTE008961;KB664839;8093;10457
AALB015248;3R;26294691;26294860;1;;;;;;;;;;;;;;;;;;;;
AALB007478;3R;32681461;32719340;-1;AATE002091;KI421924;10247;56354;AFUN000494;KB668726;1094478;1125317;AGAP004707;2L;2358158;2431617;ASIS000575;KI916323;515010;525822;ASTE003653;KB664444;894464;914452
AALB007478;3R;32681461;32719340;-1;AATE002091;KI421924;10247;56354;AFUN000494;KB668726;1094478;1125317;AGAP004707;2L;2358158;2431617;ASIS022126;KI916323;528073;531879;ASTE003653;KB664444;894464;914452
AALB003837;3R;1536821;1542367;-1;AATE020893;KI421887;5539560;5546120;AFUN005775;KB668718;286657;291745;AGAP011620;3L;30022597;30028326;ASIS020377;KI916735;43935;50305;ASTE004985;KB664668;54551;58999
AALB010373;3R;12689130;12689806;-1;AATE008368;KI421887;8727821;8729125;AFUN002598;KB668918;83917;84833;AGAP011842;3L;33980884;33981757;ASIS007792;KI916326;324664;325639;ASTE005685;KB664452;88053;89432
AALB003693;3R;34570205;34572698;1;AATE007542;KI421922;438922;449601;AFUN006530;KB668762;331274;338830;AGAP004694;2L;1595176;1602296;ASIS012170;KI916323;299441;311321;ASTE003669;KB664444;1111675;1116950
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008495;KB668741;209198;210517;AGAP004855;2L;4492189;4494085;ASIS007711;AXCK02025906;1;753;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008495;KB668741;209198;210517;AGAP004855;2L;4492189;4494085;ASIS022134;KI916385;765;1301;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008495;KB668741;209198;210517;AGAP004855;2L;4492189;4494085;ASIS001462;KI916751;47203;49564;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008495;KB668741;209198;210517;AGAP004855;2L;4492189;4494085;ASIS007501;KI916751;52454;53789;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008495;KB668741;209198;210517;AGAP004855;2L;4492189;4494085;ASIS007167;KI916385;2545;3649;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008495;KB668741;209198;210517;AGAP004855;2L;4492189;4494085;ASIS020231;KI916751;86659;88506;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008494;KB668741;191054;196562;AGAP004855;2L;4492189;4494085;ASIS007711;AXCK02025906;1;753;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008494;KB668741;191054;196562;AGAP004855;2L;4492189;4494085;ASIS022134;KI916385;765;1301;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008494;KB668741;191054;196562;AGAP004855;2L;4492189;4494085;ASIS001462;KI916751;47203;49564;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008494;KB668741;191054;196562;AGAP004855;2L;4492189;4494085;ASIS007501;KI916751;52454;53789;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008494;KB668741;191054;196562;AGAP004855;2L;4492189;4494085;ASIS007167;KI916385;2545;3649;ASTE007999;KB664755;471867;473410
AALB004074;3R;20959199;20960381;1;AATE001426;KI421894;2472115;2474855;AFUN008494;KB668741;191054;196562;AGAP004855;2L;4492189;4494085;ASIS020231;KI916751;86659;88506;ASTE007999;KB664755;471867;473410
AALB010014;3R;6242907;6244271;1;AATE003769;KI421887;9856797;9858164;AFUN003198;KB668711;108777;109700;AGAP012100;3L;37645770;37647104;ASIS009747;KI916413;5221;5781;ASTE002102;KB664552;138117;139457
AALB001234;3R;31787593;31791007;-1;AATE011137;KI421917;105772;107504;AFUN002656;KB668859;373592;376186;AGAP010371;3L;2288072;2290171;ASIS001477;KI916419;57389;59030;ASTE006688;KB664766;383305;385685
AALB010524;3R;15129279;15130092;1;AATE018036;KI421887;1466530;1476858;AFUN015155;KB668500;414427;416467;AGAP010835;3L;11724169;11724981;ASIS014273;KI916186;658464;659272;ASTE001646;KB664473;6104;6982
AALB015710;3R;26318677;26319982;1;;;;;;;;;;;;;;;;;;;;
AALB010060;3R;7240307;7244964;-1;AATE010907;KI421893;6630508;6650073;AFUN001058;KB668611;315193;317810;;;;;;;;;;;;
AALB010060;3R;7240307;7244964;-1;AATE010907;KI421893;6630508;6650073;AFUN001057;KB668611;302892;303564;;;;;;;;;;;;
AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873;AFUN015995;KB668578;327852;329294;AGAP010504;3L;5124949;5126370;ASIS002199;KI916347;447664;450419;ASTE006774;KB665110;689152;690582
AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873;AFUN015995;KB668578;327852;329294;AGAP010505;3L;5133258;5134698;ASIS002199;KI916347;447664;450419;ASTE006774;KB665110;689152;690582
AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873;AFUN015995;KB668578;327852;329294;AGAP010504;3L;5124949;5126370;ASIS017492;KI916347;452097;453553;ASTE006774;KB665110;689152;690582
AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873;AFUN015995;KB668578;327852;329294;AGAP010505;3L;5133258;5134698;ASIS017492;KI916347;452097;453553;ASTE006774;KB665110;689152;690582
AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873;AFUN015994;KB668578;331868;332630;AGAP010504;3L;5124949;5126370;ASIS002199;KI916347;447664;450419;ASTE006774;KB665110;689152;690582
AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873;AFUN015994;KB668578;331868;332630;AGAP010505;3L;5133258;5134698;ASIS002199;KI916347;447664;450419;ASTE006774;KB665110;689152;690582
AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873;AFUN015994;KB668578;331868;332630;AGAP010504;3L;5124949;5126370;ASIS017492;KI916347;452097;453553;ASTE006774;KB665110;689152;690582
AALB009854;3R;3670025;3671439;-1;AATE003043;KI421902;1836634;1837873;AFUN015994;KB668578;331868;332630;AGAP010505;3L;5133258;5134698;ASIS017492;KI916347;452097;453553;ASTE006774;KB665110;689152;690582
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP000164;X;2848251;2849270;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP012027;3L;36678614;36680000;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP028159;3L;36662832;36663589;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP028040;3L;36673270;36674981;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP028107;3L;36675338;36676735;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP027985;3L;36677070;36678440;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP000164;X;2848251;2849270;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP012027;3L;36678614;36680000;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP028159;3L;36662832;36663589;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP028040;3L;36673270;36674981;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP028107;3L;36675338;36676735;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP027985;3L;36677070;36678440;ASIS007892;KI916397;167052;170692;ASTE007660;KB664748;38688;39737
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP000164;X;2848251;2849270;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP012027;3L;36678614;36680000;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP028159;3L;36662832;36663589;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP028040;3L;36673270;36674981;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP028107;3L;36675338;36676735;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN009311;KB669025;6177;7693;AGAP027985;3L;36677070;36678440;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP000164;X;2848251;2849270;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP012027;3L;36678614;36680000;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP028159;3L;36662832;36663589;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP028040;3L;36673270;36674981;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP028107;3L;36675338;36676735;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB015881;3R;6068919;6070190;1;;;;;AFUN002156;KB668668;476699;477972;AGAP027985;3L;36677070;36678440;ASIS007892;KI916397;167052;170692;ASTE004999;KB664606;148910;150449
AALB010030;3R;6478385;6481798;1;AATE014743;KI421899;36350;40817;AFUN002508;KB668703;266067;274008;AGAP011513;3L;26285278;26286723;ASIS017939;KI916203;184137;186203;ASTE005786;KB664496;66880;68560
AALB010036;3R;6548691;6550036;1;AATE006228;KI421899;135652;152739;AFUN002513;KB668703;334301;338006;;;;;;;;;ASTE005360;KB664505;43668;47105
AALB009906;3R;4381535;4390065;-1;AATE008997;KI421979;812;9171;AFUN003210;KB668711;182616;188292;AGAP012175;3L;38328174;38334784;ASIS018537;KI916263;778734;787720;ASTE002484;KB664511;799698;805601
AALB007613;3R;29846674;29847463;-1;;;;;AFUN006468;KB668717;56434;57648;AGAP010447;3L;3830153;3831267;;;;;ASTE001536;KB664669;82328;83638
AALB007613;3R;29846674;29847463;-1;;;;;AFUN006468;KB668717;56434;57648;AGAP010449;3L;3855188;3855666;;;;;ASTE001536;KB664669;82328;83638
