# genome1: genome1
# genome2: genome2
# genome3: genome3
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign
1 3L 12139 75114 + 2L 1527686 1510009 + 2R 33916987 1011143 -
2 3L 125743 2011 + 3L 8203776 1887 + 2R 29961682 2323 -
3 3L 128210 5031 + 2L 1411011 30369 - 2R 35045723 14201 +
4 3L 140510 16026 + 2L 8613164 14632 + 2L 61491047 11990 -
5 3L 157305 8712 + 2L 8628215 10295 + 2L 57304841 9414 -
6 3L 178531 82791 + 2L 9642985 136672 + 2L 74569393 111838 -
7 3L 270341 62174 + 2L 7585796 152771 - 2L 62238712 174691 +
8 3L 351943 38698 + 2L 8644043 68122 + 2L 57246674 57952 -
9 3L 419298 1994 + 2L 6194335 1250 + 2L 43702259 1247 +
10 3L 429585 484503 + 2L 6208301 968191 + 2L 62643769 824924 -
11 3L 962628 370411 + 2L 7769154 560518 - 2L 61697291 517335 +
12 3L 1338800 327 + 2L 17424809 16408 + 2L 59242431 9227 -
13 3L 1384650 41905 + 2L 9875257 81813 + 2L 74380819 93167 -
14 3L 1430275 529596 + 2L 10820811 865213 + 2L 49157691 797863 -
15 3L 2144381 321343 + 2L 11847212 442228 + 2L 56564073 400177 +
16 3L 2595555 16893 + 2L 4467956 22510 - 2L 73068785 21465 -
17 3L 2630458 44379 + 2L 28587919 55745 + 2L 42774320 45273 +
18 3L 2675854 883 + 2L 43043577 1073 + 2L 42820293 834 +
19 3L 2678351 54593 + 2L 28644377 61235 + 2L 42823377 54026 +
20 3L 2739229 1022113 + 2L 28709029 1268610 + 2L 37232863 968297 +
21 3L 3828433 6998 + 2L 43520167 29411 - 2L 38251553 8232 +
22 3L 3965774 295926 + 2L 43045845 322437 - 2L 38376865 301239 +
23 3L 4309333 4285 + 2L 18171713 3177 - 2L 38727439 5198 +
24 3L 4362228 187904 + 2L 36460340 192497 - 2L 65689005 224393 +
25 3L 4570998 14222 + 2L 23847287 16946 + 2L 65933992 16893 +
26 3L 4597893 30931 + 2L 30497705 39175 - 2L 67207331 35219 +
27 3L 4655642 301802 + 2L 19213769 379228 + 2L 65347418 302285 -
28 3L 4960946 96166 + 2L 13967698 132959 - 2L 50241842 102557 +
29 3L 5066648 153909 + 2L 9959749 246732 + 2L 50354312 162378 +
30 3L 5233844 19851 + 2L 10225275 23232 + 2L 59913275 21429 -
31 3L 5342538 14307 + 2L 44505488 14409 + 2L 57654954 17994 +
32 3L 5358963 291291 + 2L 16968562 375299 + 2L 36609482 371114 -
33 3L 5679154 163027 + 2L 40586110 173785 + 2L 51741794 148498 -
34 3L 5995321 498766 + 2L 22645345 492706 + 2L 51110778 503457 -
35 3L 6496618 470 + 2L 39993541 679 - 2L 36412816 682 -
36 3L 6497669 21907 + 2L 23144468 26870 + 2L 51087338 22439 -
37 3L 6527633 339980 + 2L 24566607 390093 + 2L 40936698 326531 -
38 3L 7021304 3772 + 2L 30776928 49848 + 2L 66945222 9430 -
39 3L 7038472 16811 + 2L 48878774 18977 + 2L 48071930 29463 -
40 3L 7073840 6966 + 2L 15147019 3135 + 2L 52314140 3623 -
41 3L 7088473 78685 + 2L 4376928 82897 - 2L 72961806 97471 -
42 3L 7253072 421627 + 2L 12651084 599550 - 2L 72169653 665900 -
43 3L 7673685 3680 + 2L 46923249 2171 - 2L 47485880 2098 +
44 3L 7722326 147776 + 2L 12366733 231831 - 2L 42909615 171229 +
45 3L 7883745 9945 + 2L 12353162 10424 - 2L 74339187 10443 -
46 3L 7898159 282263 + 2L 13526307 393594 - 2L 73956154 378828 -
47 3L 8181571 13899 + 2L 13513706 6583 - 2L 74350437 10407 +
48 3L 8199920 4650 + 2L 35703490 6642 + 2L 39362194 6270 +
49 3R 1481 569 + 2L 49276905 1843 + 2L 46355422 2665 +
50 3R 16801 2071 + 3L 41839709 1897 - 3L 97947533 7957 +
51 3R 30635 66804 + 3L 41376069 325512 + 3L 97972594 202208 +
52 3R 102556 296714 + 3L 34607154 533009 + 3L 96353999 377224 -
53 3R 429675 32870 + 3L 35200388 45282 + 3L 96283366 34219 -
54 3R 467656 3589 + 3L 26889027 1616 - 3L 96274695 1774 -
55 3R 473397 184962 + 3L 35264498 322714 + 3L 96036680 233814 -
56 3R 659238 174923 + 3L 41122567 228971 + 3L 95825714 208421 -
57 3R 835158 2848 + 3L 35157372 4626 - 3L 96339117 4272 +
58 3R 896981 676 + 3L 41828846 764 - 3L 95737878 1489 -
59 3R 916348 74819 + 3L 41707173 104136 - 3L 98181212 98466 -
60 3R 1176538 32953 + 3L 34356716 218444 + 3L 96759225 15165 -
61 3R 1248173 1307113 + 3L 28389678 2069536 - 3L 92760986 1599496 -
62 3R 2763346 121967 + 3L 36669088 169885 + 3L 113410584 178856 +
63 3R 2933490 6649 + 3L 8213240 29039 - 3L 118276061 3264 +
64 3R 2942890 156534 + 3L 31480770 209064 - 3L 118291519 232835 +
65 3R 3105144 1568 + 3L 24726293 1472 + 3L 118535374 1472 +
66 3R 3109667 167338 + 3L 24732444 226476 + 3L 91360178 218905 -
67 3R 3387546 22598 + 3L 21136209 9500 - 3L 121090653 8851 -
68 3R 3406236 2509 + 3L 21109736 921 - 3L 121071859 2568 -
69 3R 3411691 59616 + 3L 9009362 82512 - 3L 120985131 79686 -
70 3R 3555875 41548 + 3L 4997901 38164 + 3L 120718790 38230 -
71 3R 3611761 4514 + 3L 18220347 2462 - 3L 106853016 2348 +
72 3R 3723633 57015 + 3L 5185540 62390 + 3L 120490422 79834 -
73 3R 3789879 226893 + 3L 12933926 353787 - 3L 120169947 319080 -
74 3R 4019638 140083 + 3L 7358633 558516 + 3L 109946268 178505 +
75 3R 4170808 177456 + 3L 16241949 245695 - 3L 110141806 248846 +
76 3R 4351556 49690 + 3L 38275163 66253 + 3L 114022683 51229 +
77 3R 4411869 623944 + 3L 14730422 702004 - 3L 104739861 770147 -
78 3R 5145643 2073 + 3L 35698399 2304 + 3L 104582794 2324 -
79 3R 5147780 47702 + 3L 14487668 99810 - 3L 104521782 60954 -
80 3R 5204909 25319 + 3L 35663806 34255 + 3L 104474432 31652 -
81 3R 5230548 125540 + 3L 35702128 170226 + 3L 104313972 156793 -
82 3R 5469310 64554 + 3L 5438584 123571 + 3L 102965802 94857 +
83 3R 5535701 181133 + 3L 38984661 187632 - 3L 109211673 287934 -
84 3R 5717033 181052 + 3L 40744216 159310 + 3L 108978945 232279 -
85 3R 5937842 20087 + 3L 39524698 18641 + 3L 112397837 26112 -
86 3R 5989317 115834 + 3L 23868111 170947 - 3L 95504720 62764 +
87 3R 6120323 35457 + 3L 37456703 49127 + 3L 95600186 34822 +
88 3R 6201907 2223 + 3L 21118672 1241 + 3L 121078503 2162 +
89 3R 6220767 5587 + 3L 37621857 1890 + 3L 95707981 5936 +
90 3R 6242907 81387 + 3L 37645770 95139 + 3L 98293876 77937 +
91 3R 6330641 5807 + 3L 37448340 1340 - 3L 98381484 1499 +
92 3R 6366860 23076 + 3L 26404313 34485 - 3L 107097748 51567 -
93 3R 6478385 603108 + 3L 25450908 835815 - 3L 111400649 762280 -
94 3R 7118299 211852 + 3L 32107241 308648 - 3L 100192222 313883 +
95 3R 7572909 65584 + 3L 39923995 65358 + 3L 107821687 121917 -
96 3R 7725314 2818 + 3L 33364203 1217 - 3L 107699855 2299 -
97 3R 7729143 145355 + 3L 27807712 188378 - 3L 99841145 235182 +
98 3R 8253646 81020 + 3L 27222639 103765 - 3L 92526976 91875 +
99 3R 8343875 144255 + 3L 36079982 170584 - 3L 103895426 178806 +
100 3R 8526707 49169 + 3L 36877254 46265 + 3L 97867681 46508 +
101 3R 8612188 301263 + 3L 36975510 401704 + 3L 98428630 380154 -
102 3R 8923030 4896 + 3L 26442369 1498 + 3L 107149278 4255 +
103 3R 9311666 214277 + 3L 9160379 487180 - 3L 119631807 302886 +
104 3R 9619593 13514 + 3L 12862440 24093 + 3L 120125057 13752 +
105 3R 9646652 1579 + 3L 7356645 1312 - 3L 109944226 1459 -
106 3R 9734895 201572 + 3L 39209948 216863 - 3L 109538076 278264 -
107 3R 9970766 648874 + 3L 5568814 887187 + 3L 103062199 808549 +
108 3R 10622714 19284 + 3L 36293016 20735 - 3L 103871032 22449 +
109 3R 10684378 168349 + 3L 33571530 260261 - 3L 97266605 191824 +
110 3R 10937562 44644 + 3L 8750479 72505 - 3L 108188598 57222 -
111 3R 10983167 207546 + 3L 15808210 330197 + 3L 110458300 277468 -
112 3R 11387017 7832 + 3L 34276239 12968 - 3L 96973328 6990 +
113 3R 11468978 541539 + 3L 30629104 781032 + 3L 94482787 548949 +
114 3R 12066410 141873 + 3L 24427151 285089 - 3L 95087019 153599 +
115 3R 12491782 2000 + 3L 39606318 995 + 3L 112304729 1937 -
116 3R 12530122 12556 + 3L 15787249 16712 - 3L 110734973 73988 +
117 3R 12607895 10167 + 3L 20080466 1512 + 3L 89536235 10511 +
118 3R 12623101 11477 + 3L 31692998 22052 - 3L 100886684 13652 +
119 3R 12636240 8202 + 3L 32953796 7081 + 3L 97767865 9392 -
120 3R 12649564 111986 + 3L 33865917 176730 - 3L 97117677 126437 +
121 3R 12873524 470847 + 3L 6549097 618785 + 3L 112453744 611437 -
122 3R 13351904 171146 + 3L 40919476 184962 + 3L 108591328 367664 -
123 3R 13554049 3954 + 3L 35622767 4114 + 3L 108527802 5810 -
124 3R 13609986 15209 + 3L 14401892 3251 - 3L 108438284 8058 -
