chr;scf;strand;Size
2R;KI421882;-1;20238125
2R;KI421890;-1;9206694
2R;KI421911;-1;814329
2R;KI421912;-1;785772
2R;KI421889;-1;9380469
2R;KI421900;-1;3534686
2R;KI421931;1;316251
2R;KI422039;1;28276
2R;KI421930;1;295971
2R;KI421924;1;300483
2R;KI422149;NA;24806
2R;KI421922;-1;450785
2L;KI421884;1;13649947
2L;KI421916;-1;622861
2L;KI421891;-1;7496699
2L;KI421905;1;2366404
2L;KI421938;-1;147176
2L;KI421886;1;11808074
2L;KI421894;1;5662806
3R;KI421888;1;10083987
3R;KI421914;-1;821363
3R;KI421906;1;1914387
3R;KI421883;1;16623535
3R;KI421892;1;7594930
3R;KI421885;1;12071184
3R;KI421897;-1;4671747
3R;KI421915;1;722338
3R;KI421904;1;2066620
3R;KI421908;-1;1630999
3R;KI421944;1;167369
3L;KI421887;1;10405585
3L;KI421893;-1;8157176
3L;KI421923;1;440738
3L;KI421899;-1;4758701
3L;KI421901;-1;4192108
3L;KI421903;1;2389045
3L;KI421902;1;2709063
3L;KI421910;-1;1542149
3L;KI421913;-1;725135
3L;KI421909;-1;1484777
3L;KI421925;-1;318451
3L;KI421917;1;642090
3L;KI422027;1;33143
3L;KI421973;1;113141
